rowlabel,sex,age,yrsarea,genhealt,cry2,relig3,tenure1,hominsur,persinc,inner,rural3,rubbcomm,vandcomm,livharm1a,tenharm,struct3,ethgrp2a,illONS,educat3,remploya,threviol2,walkdark,emdiqu15x,polatt7,confx
176099320,1,34,5,1,1,2,2,1,12,0,2,3,3,1,1,1,1,1,4,1,2,1,3,1,0.483371096
176100080,1,30,4,1,1,1,1,1,10,0,2,3,4,3,1,1,1,1,4,1,1,1,4,1,0.31509425
176100240,2,58,6,2,7,1,2,1,11,0,2,3,4,5,1,1,5,1,4,1,2,2,3,2,0.266492235
176101080,2,48,7,4,7,1,2,1,14,0,2,3,3,1,1,2,1,3,4,1,2,2,4,2,0.048573871
176101240,2,39,6,2,1,1,2,1,9,0,2,3,3,5,1,3,1,1,2,1,2,3,3,1,0.729823203
176102160,1,40,2,2,1,2,1,1,14,1,2,3,3,1,1,2,1,1,4,1,2,1,3,2,0.051515695
176103080,2,16,5,3,1,1,4,1,1,0,2,2,2,3,2,1,1,3,5,3,2,4,1,3,-0.150139038
176104160,1,64,7,2,1,1,2,1,14,0,2,4,4,2,1,4,1,1,2,1,2,2,5,2,0.266492235
176106240,2,47,6,1,1,2,1,1,14,1,2,3,3,2,1,2,1,1,4,1,2,2,2,1,0.96969468
176110320,2,77,7,2,1,1,1,1,5,0,2,3,3,1,1,4,1,1,4,3,2,2,5,1,0.990281907
176111080,2,80,7,1,1,2,1,1,8,0,2,3,4,1,1,4,1,1,3,3,2,4,5,1,0.797955461
176113080,1,25,5,3,1,1,4,1,4,1,2,3,4,3,2,1,4,1,4,1,2,2,1,5,-1.783464196
176114080,1,58,7,2,1,1,2,1,4,0,2,2,3,5,1,1,1,1,1,1,2,3,2,4,-2.198712104
176114240,1,27,2,1,1,2,2,1,13,0,2,1,3,2,1,1,1,1,2,1,2,1,2,1,1.665469564
176114320,1,47,7,3,1,1,2,1,10,0,2,1,3,1,1,2,1,2,2,1,2,1,3,2,0.041147904
176115160,1,73,7,2,1,2,1,1,6,1,2,3,2,6,1,4,1,1,4,3,2,2,1,2,-0.884130666
176116240,2,53,6,1,1,2,1,1,7,0,2,4,4,3,1,1,1,1,4,1,2,2,3,2,-0.608447834
176116320,1,36,2,2,1,2,2,1,10,0,2,3,3,2,1,1,1,1,3,1,2,1,5,3,-0.196838733
176117240,2,78,7,1,1,2,1,1,5,0,2,3,4,6,1,4,1,1,4,3,2,2,2,3,-1.347461634
176118080,1,28,5,2,1,1,4,2,6,1,2,1,1,2,2,2,1,1,3,1,2,2,1,2,-0.426861374
176119240,2,52,7,3,1,2,2,1,3,0,2,4,4,1,1,1,1,1,2,1,2,2,1,1,-0.119524947
176121080,1,65,7,2,7,1,1,1,5,0,2,4,4,1,1,4,1,1,4,3,2,1,5,3,-0.628516106
176121240,2,42,3,1,1,1,4,1,10,0,2,4,4,5,3,2,1,1,4,1,2,1,5,3,-0.410597742
176123240,2,67,7,3,1,2,1,1,4,0,2,4,4,1,1,4,1,1,5,3,2,1,3,2,0.31319193
176124080,2,39,7,2,1,2,4,1,4,0,2,3,4,3,2,3,1,1,2,1,2,4,4,1,1.665469564
176125160,1,38,5,1,1,2,2,1,11,0,2,3,3,1,1,2,1,1,4,1,2,1,2,4,-1.087687718
176127160,1,48,5,3,7,3,5,2,3,1,2,3,4,1,3,2,3,1,3,1,2,2,2,1,1.42195928
176128080,1,47,3,1,7,2,2,1,12,0,2,3,4,1,1,2,4,1,4,1,2,1,5,1,1.665469564
176128160,2,65,7,1,1,2,1,1,4,0,2,4,4,1,1,4,1,1,2,3,2,2,5,2,-0.133012589
176129160,2,51,5,3,1,8,3,1,4,0,2,4,4,4,1,2,4,3,4,1,2,3,3,2,0.74192748
176130080,2,25,6,2,1,2,2,1,8,0,2,3,3,3,1,1,1,1,4,1,2,2,1,2,-0.644779738
176130160,2,59,7,2,1,2,4,1,11,0,2,3,3,1,2,1,1,1,1,3,2,2,3,4,-1.087687718
176130240,2,64,7,1,1,2,1,1,5,0,2,3,3,1,1,4,1,1,1,3,2,1,5,2,0.266492235
176131080,2,47,7,1,1,2,1,1,13,0,2,3,3,1,1,2,1,1,4,1,2,3,2,1,1.665469564
176131160,1,21,7,2,1,6,1,1,2,0,2,3,3,3,1,2,3,1,3,1,2,1,1,1,0.972115955
